msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
189,1758695356817980985,1758695357079775556,261.795,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
190,1758695956019253622,1758695956279530349,260.277,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
191,1758696556217939423,1758696557858196844,1640.257,463,487,2460,954,3414,36,36,2460,0.19796747967479675,1973
192,1758697157424457244,1758697157517209181,92.752,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
193,1758697756629648394,1758697756644073301,14.425,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
194,1758698355827385783,1758698355998803427,171.418,463,487,2148,1134,3282,41,41,2148,0.22672253258845437,1661
195,1758698957039682401,1758698958506418584,1466.736,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
196,1758699556248521017,1758699556463217431,214.696,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
197,1758700156442732410,1758700156549973483,107.241,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
198,1758700756621889131,1758700756723906390,102.017,463,487,2124,1082,3206,40,40,2124,0.2292843691148776,1637
199,1758701358821080260,1758701358882648824,61.569,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
200,1758701956030328778,1758701956351093997,320.765,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
201,1758702556227271790,1758702556549231464,321.96,463,487,1972,902,2874,35,35,1972,0.24695740365111563,1485
202,1758703157432287257,1758703157750659160,318.372,463,487,2124,1082,3206,40,40,2124,0.2292843691148776,1637
203,1758703756634617232,1758703756910968081,276.351,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
204,1758704355830199081,1758704356042812746,212.614,463,487,2124,1082,3206,40,40,2124,0.2292843691148776,1637
205,1758704956039957370,1758704956364908327,324.951,459,483,2120,1030,3150,39,39,2120,0.2278301886792453,1637
206,1758705556241339695,1758705556498433705,257.094,463,487,2304,1270,3574,45,45,2304,0.2113715277777778,1817
207,1758706156444808725,1758706156681034933,236.226,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
208,1758706756643954314,1758706756707039563,63.085,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
209,1758707355834570963,1758707355895957097,61.386,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
210,1758707956042967394,1758707956344114197,301.147,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
211,1758708556256163630,1758708556473452029,217.288,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
212,1758709156455271007,1758709156517254686,61.984,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
213,1758709756640784948,1758709756960083989,319.299,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
214,1758710355845719488,1758710355899543149,53.824,463,487,2124,1082,3206,40,40,2124,0.2292843691148776,1637
215,1758710956064240617,1758710956073210321,8.97,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
216,1758711556271715627,1758711556294674839,22.959,459,483,1764,762,2526,30,30,1764,0.27380952380952384,1281
217,1758712156464404378,1758712156726376226,261.972,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
218,1758712755668936939,1758712755912958717,244.022,467,491,2052,1018,3070,38,38,2052,0.23927875243664717,1561
219,1758713355872765107,1758713356086655074,213.89,463,487,2188,1042,3230,40,40,2188,0.22257769652650822,1701
220,1758713956095438962,1758713956363730884,268.292,467,491,1976,954,2930,36,36,1976,0.24848178137651822,1485
221,1758714556295688887,1758714556570787175,275.098,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
222,1758715156478394654,1758715156781704284,303.31,467,491,2128,1082,3210,40,40,2128,0.23073308270676693,1637
223,1758715756683259961,1758715756912218562,228.959,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
224,1758716356883319376,1758716357057680970,174.362,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
